Date,Description,Amount,Category,PaymentMethod,MerchantType,Month
06-10-2025,Levis,2086.4,Clothing,Cash,Subscription,October
13-04-2025,RedBus,1840.78,Transport,Debit Card,Online Store,April
12-05-2025,Netflix,1595.55,Entertainment,Cash,Online Store,May
20-03-2025,KFC,4625.6,Food,Net Banking,Online Store,March
05-01-2025,Tesco,1412.25,Grocery,UPI,Service,January
08-03-2025,Samsung,1759.81,Electronics,Cash,Retail,March
16-07-2025,Apple,3023.68,Electronics,Debit Card,Subscription,July
31-12-2025,Costco,1430.5,Grocery,Net Banking,Subscription,December
23-09-2025,McDonalds,3898.36,Food,Net Banking,Online Store,September
08-04-2025,Tesco,4539.51,Grocery,Credit Card,Service,April
20-07-2025,Adidas,3244.15,Clothing,UPI,Online Store,July
18-12-2025,RedBus,1154.22,Transport,Cash,Retail,December
11-02-2025,Levis,2548.97,Clothing,UPI,Subscription,February
20-12-2025,HP,2219.4,Electronics,Debit Card,Service,December
14-01-2025,McDonalds,245.72,Food,Credit Card,Service,January
11-11-2025,Adidas,1983.49,Clothing,UPI,Online Store,November
05-01-2025,Spotify,641.39,Entertainment,Debit Card,Restaurant,January
25-12-2025,Uber,1439.76,Transport,UPI,Subscription,December
06-12-2025,Walmart,1600.39,Grocery,Net Banking,Retail,December
07-06-2025,McDonalds,1883.29,Food,Net Banking,Online Store,June
19-10-2025,Apple,531.52,Electronics,Cash,Subscription,October
16-02-2025,McDonalds,947.45,Food,Net Banking,Subscription,February
23-03-2025,Tesco,531.31,Grocery,Net Banking,Service,March
20-08-2025,HP,1932.31,Electronics,Debit Card,Retail,August
03-12-2025,Walmart,328.17,Grocery,Credit Card,Service,December
02-04-2025,Zara,2758.86,Clothing,Cash,Subscription,April
18-01-2025,McDonalds,2532.39,Food,UPI,Restaurant,January
30-01-2025,Starbucks,687.04,Food,Credit Card,Restaurant,January
11-05-2025,Amazon Prime,3327.96,Entertainment,Net Banking,Subscription,May
30-06-2025,Amazon Prime,4996.98,Entertainment,Debit Card,Online Store,June
02-02-2025,Spotify,2933.63,Entertainment,Net Banking,Service,February
16-08-2025,Disney+,3265.27,Entertainment,UPI,Online Store,August
30-04-2025,Metro,4517.86,Transport,Cash,Subscription,April
28-02-2025,Starbucks,4441.94,Food,Debit Card,Online Store,February
20-12-2025,RedBus,3623.87,Transport,Cash,Subscription,December
21-09-2025,Dominos,4724.66,Food,Cash,Restaurant,September
26-09-2025,Dell,3267.14,Electronics,Net Banking,Retail,September
25-05-2025,Sony,3425.18,Electronics,UPI,Subscription,May
11-11-2025,Levis,4008.36,Clothing,UPI,Subscription,November
06-04-2025,Apple,1934.32,Electronics,UPI,Retail,April
14-07-2025,Tesco,2739.62,Grocery,Net Banking,Subscription,July
06-11-2025,Starbucks,3616.71,Food,Net Banking,Service,November
11-08-2025,Zara,3917.91,Clothing,UPI,Retail,August
01-06-2025,Apple,1270.5,Electronics,Debit Card,Subscription,June
14-09-2025,Adidas,3335.96,Clothing,UPI,Subscription,September
26-10-2025,Walmart,1496.31,Grocery,Cash,Subscription,October
14-07-2025,Samsung,2354.98,Electronics,Cash,Restaurant,July
16-08-2025,RedBus,3248.73,Transport,Debit Card,Subscription,August
06-08-2025,BigBazaar,1887.92,Grocery,Cash,Online Store,August
14-10-2025,KFC,2061.92,Food,Credit Card,Online Store,October
13-10-2025,Netflix,4342.01,Entertainment,Net Banking,Subscription,October
31-03-2025,Levis,3241.78,Clothing,UPI,Restaurant,March
29-07-2025,Lyft,1622.75,Transport,Credit Card,Service,July
22-08-2025,Netflix,2812.41,Entertainment,Cash,Subscription,August
06-07-2025,Tesco,2570.48,Grocery,Debit Card,Subscription,July
13-01-2025,BigBazaar,434.92,Grocery,Cash,Subscription,January
07-05-2025,Target,1694.57,Grocery,Cash,Retail,May
11-02-2025,Uber,4810.91,Transport,UPI,Subscription,February
06-09-2025,Uber,4585.59,Transport,Cash,Retail,September
11-01-2025,HP,1539.02,Electronics,UPI,Service,January
24-02-2025,Sony,28.59,Electronics,Debit Card,Retail,February
22-03-2025,YouTube Premium,3553.59,Entertainment,Debit Card,Subscription,March
05-06-2025,HP,1870.59,Electronics,Cash,Service,June
09-11-2025,Amazon Prime,4664.04,Entertainment,Cash,Restaurant,November
08-03-2025,Adidas,1532.63,Clothing,Cash,Retail,March
11-10-2025,Target,4901.64,Grocery,Cash,Restaurant,October
11-07-2025,Tesco,310.42,Grocery,Debit Card,Retail,July
15-04-2025,Target,2201.72,Grocery,UPI,Online Store,April
18-08-2025,Costco,3325.78,Grocery,Net Banking,Subscription,August
14-04-2025,Adidas,33.37,Clothing,Debit Card,Online Store,April
28-01-2025,HP,2906.04,Electronics,Net Banking,Restaurant,January
18-02-2025,Levis,4249.24,Clothing,Credit Card,Restaurant,February
07-07-2025,McDonalds,3553.64,Food,Credit Card,Online Store,July
18-06-2025,BigBazaar,4997.5,Grocery,Cash,Subscription,June
04-07-2025,Metro,1982.07,Transport,Credit Card,Service,July
01-08-2025,RedBus,3796.64,Transport,UPI,Retail,August
25-07-2025,BigBazaar,3045.56,Grocery,Cash,Restaurant,July
25-10-2025,H&M,3965.6,Clothing,Cash,Subscription,October
15-02-2025,HP,531.29,Electronics,Credit Card,Restaurant,February
24-12-2025,Disney+,1183.16,Entertainment,UPI,Restaurant,December
26-02-2025,Dell,474.15,Electronics,Debit Card,Online Store,February
09-10-2025,Adidas,2347.77,Clothing,Net Banking,Restaurant,October
30-06-2025,H&M,2395.84,Clothing,Net Banking,Online Store,June
04-02-2025,HP,3134.56,Electronics,Cash,Restaurant,February
26-08-2025,Disney+,1277.2,Entertainment,UPI,Retail,August
15-02-2025,Samsung,3079.23,Electronics,Credit Card,Online Store,February
25-09-2025,Target,1608.19,Grocery,Net Banking,Online Store,September
27-05-2025,Zara,3850.34,Clothing,Debit Card,Restaurant,May
17-11-2025,Apple,3409.37,Electronics,Cash,Subscription,November
18-07-2025,Target,2414.63,Grocery,UPI,Restaurant,July
30-07-2025,Adidas,3551.99,Clothing,Credit Card,Restaurant,July
06-01-2025,Spotify,2224.13,Entertainment,Credit Card,Service,January
21-09-2025,Levis,1452.89,Clothing,Credit Card,Restaurant,September
12-04-2025,Target,610.46,Grocery,Cash,Service,April
17-08-2025,Samsung,763.17,Electronics,Net Banking,Retail,August
20-11-2025,Nike,1732.93,Clothing,Credit Card,Subscription,November
06-04-2025,Subway,4554.3,Food,Credit Card,Restaurant,April
07-02-2025,McDonalds,681.7,Food,UPI,Online Store,February
27-09-2025,YouTube Premium,769.6,Entertainment,Credit Card,Service,September
01-05-2025,H&M,3883.33,Clothing,Cash,Subscription,May
15-05-2025,HP,2454.45,Electronics,Debit Card,Subscription,May
15-03-2025,Dominos,1643.42,Food,Credit Card,Restaurant,March
08-05-2025,Uber,2674.79,Transport,UPI,Service,May
08-12-2025,Walmart,3278.63,Grocery,Cash,Service,December
23-06-2025,Samsung,1519.38,Electronics,Cash,Online Store,June
31-07-2025,BigBazaar,4269.09,Grocery,Cash,Subscription,July
24-01-2025,Dell,4310.41,Electronics,UPI,Subscription,January
16-12-2025,Apple,4559.13,Electronics,Net Banking,Restaurant,December
10-04-2025,Nike,4195.01,Clothing,Net Banking,Subscription,April
12-02-2025,Adidas,3571.75,Clothing,Cash,Online Store,February
08-10-2025,H&M,682.55,Clothing,Debit Card,Restaurant,October
13-07-2025,Nike,171.62,Clothing,Debit Card,Online Store,July
02-03-2025,H&M,4087.14,Clothing,Cash,Retail,March
14-12-2025,Sony,3224.28,Electronics,Credit Card,Restaurant,December
13-07-2025,Target,3501.92,Grocery,Credit Card,Restaurant,July
26-07-2025,Sony,208.33,Electronics,Debit Card,Subscription,July
10-05-2025,YouTube Premium,444,Entertainment,Net Banking,Restaurant,May
30-03-2025,KFC,2457.54,Food,Credit Card,Online Store,March
28-03-2025,Lyft,549.56,Transport,Net Banking,Online Store,March
13-06-2025,Costco,2225.93,Grocery,Net Banking,Online Store,June
20-07-2025,KFC,4260.12,Food,Credit Card,Retail,July
10-06-2025,Subway,2039.19,Food,Net Banking,Retail,June
05-04-2025,Spotify,4437.82,Entertainment,Debit Card,Retail,April
08-11-2025,Dell,2779.86,Electronics,Credit Card,Online Store,November
04-07-2025,Adidas,200.48,Clothing,UPI,Service,July
26-09-2025,Samsung,2057.88,Electronics,UPI,Retail,September
21-01-2025,H&M,92.77,Clothing,Cash,Restaurant,January
06-08-2025,BigBazaar,3143.57,Grocery,Cash,Subscription,August
08-06-2025,Nike,3866.66,Clothing,Cash,Service,June
28-12-2025,Uber,4572.1,Transport,Net Banking,Restaurant,December
01-11-2025,Sony,3103.79,Electronics,Cash,Restaurant,November
20-11-2025,Amazon Prime,4389.89,Entertainment,Credit Card,Subscription,November
10-06-2025,Disney+,4352.47,Entertainment,UPI,Service,June
22-05-2025,Costco,4752.7,Grocery,Credit Card,Retail,May
18-10-2025,H&M,1414.79,Clothing,Debit Card,Restaurant,October
07-04-2025,Disney+,82.44,Entertainment,UPI,Retail,April
27-03-2025,Adidas,2190.14,Clothing,Debit Card,Service,March
24-12-2025,Disney+,2054.49,Entertainment,UPI,Subscription,December
21-12-2025,Disney+,2298.74,Entertainment,Debit Card,Service,December
29-09-2025,H&M,4636.54,Clothing,Cash,Restaurant,September
06-03-2025,KFC,2828.11,Food,UPI,Subscription,March
31-03-2025,Nike,4558.38,Clothing,Cash,Online Store,March
30-01-2025,Levis,2636.97,Clothing,UPI,Retail,January
24-03-2025,H&M,3763.53,Clothing,UPI,Retail,March
03-08-2025,Walmart,4800.59,Grocery,Credit Card,Restaurant,August
16-12-2025,RedBus,330.7,Transport,Cash,Online Store,December
05-05-2025,HP,2092.87,Electronics,Debit Card,Subscription,May
27-04-2025,McDonalds,384.23,Food,Net Banking,Restaurant,April
20-07-2025,Levis,1409.26,Clothing,Net Banking,Subscription,July
05-11-2025,Ola,4040.88,Transport,Debit Card,Online Store,November
01-03-2025,Disney+,2774.29,Entertainment,UPI,Service,March
11-05-2025,Apple,3889.38,Electronics,Credit Card,Retail,May
16-06-2025,McDonalds,1619.97,Food,Credit Card,Retail,June
07-11-2025,HP,3774.22,Electronics,Credit Card,Subscription,November
25-05-2025,Subway,610.02,Food,Debit Card,Restaurant,May
17-10-2025,Lyft,565.33,Transport,UPI,Restaurant,October
27-06-2025,YouTube Premium,1149.83,Entertainment,UPI,Online Store,June
03-10-2025,Levis,4746.28,Clothing,Cash,Subscription,October
24-05-2025,Dominos,4065.16,Food,Credit Card,Retail,May
07-12-2025,Apple,3636.23,Electronics,Net Banking,Service,December
31-07-2025,Levis,12.73,Clothing,Net Banking,Retail,July
22-10-2025,Tesco,2800.86,Grocery,Cash,Online Store,October
22-02-2025,Spotify,3691.09,Entertainment,Cash,Service,February
02-10-2025,Dominos,1467.04,Food,Credit Card,Online Store,October
08-03-2025,Walmart,669.91,Grocery,Debit Card,Subscription,March
24-06-2025,Apple,3654.44,Electronics,Debit Card,Online Store,June
28-08-2025,Adidas,3773.35,Clothing,Cash,Service,August
08-06-2025,Samsung,2224.98,Electronics,UPI,Service,June
27-01-2025,Costco,4990.05,Grocery,Credit Card,Online Store,January
22-03-2025,Ola,2861.85,Transport,Credit Card,Restaurant,March
12-11-2025,Dominos,561.5,Food,UPI,Service,November
01-12-2025,Amazon Prime,1829.09,Entertainment,Credit Card,Retail,December
09-12-2025,Subway,4180.78,Food,Credit Card,Retail,December
12-12-2025,Uber,4692.19,Transport,Credit Card,Online Store,December
19-08-2025,Starbucks,3152.07,Food,Debit Card,Service,August
