transaction_id,transaction_date,transaction_description,transaction_type,user_id,account_id,account_type,notes,location,payment_method,currency,debit,credit,category,subcategory,running_balance,is_recurring
566d2b65-075f-4118-9ed3-f44d3784f7ff,2024-09-25,Walmart,Transfer,user_2,account_10,Checking,Kind memory describe.,Brandonhaven,Cash,USD,0.0,3573.3,Groceries,Dairy,1267395.0600000017,False
8913ffd5-968e-46fd-8de9-7278a97e1431,2025-08-01,"Grant, Lopez and Mays",Transfer,user_3,account_2,Checking,Through protect case effort peace that voice.,South Wendy,Discover,USD,0.0,3798.27,Miscellaneous,,2240850.0400000014,False
8a605da6-6440-4311-b83d-2c246d3bbd30,2025-05-31,Mccoy Ltd,ACH Credit,user_5,account_7,Savings,Collection religious here player concern news especially.,Batesfurt,Discover,USD,0.0,663.71,Miscellaneous,,1880065.7799999986,False
38bbe795-76a7-4dfa-8616-3906e29ca735,2024-12-31,Comcast,POS Debit,user_5,account_2,Credit Card,,Taylorhaven,Maestro,USD,0.0,4600.67,Utilities,,1573525.6200000008,False
7da290ff-77a8-4988-a8a4-f19becd5614f,2025-02-04,Dental Office,Transfer,user_1,account_10,Credit Card,,Phillipsburgh,JCB 15 digit,USD,0.0,4876.66,Health & Medical,N/A,1718567.1300000022,True
4ba0a14b-8006-4f8e-9e5f-8d9c6212850e,2024-10-11,Robinson and Sons,ATM Withdrawal,user_3,account_2,Savings,,East Debrastad,Mastercard,USD,20.09,0.0,Miscellaneous,,1283034.5599999998,False
82bc96e1-5e84-4433-9d0f-376fa65217cd,2024-05-27,Rent Payment,Transfer,user_2,account_5,Checking,,Thomastown,Cash,USD,77.99,0.0,Housing,Rent,841784.4900000002,False
8bc3d3d8-2e92-4570-85c4-4013c85dd146,2025-04-14,Lopez Ltd,Cash,user_3,account_8,Checking,,Ryanstad,JCB 16 digit,USD,0.0,202.98,Miscellaneous,,1818856.1900000002,False
22b1b99d-0f73-4da8-a4c5-bf3c2b24ce51,2023-12-19,AT&T,ACH Credit,user_5,account_9,Checking,Build attack message stop modern environment.,Port Donna,VISA 19 digit,USD,0.0,1942.96,Utilities,Electricity,412043.9,False
83111473-ca45-4b10-b8be-a23a9f9be992,2023-09-23,Netflix,ACH Credit,user_2,account_1,Checking,,North Gail,Maestro,USD,0.0,4057.69,Entertainment,Movies,89100.77000000003,False
f6c84898-2fdf-46be-a503-90d6e893ce4c,2023-10-19,"Guerra, Buckley and Johnson",ATM Withdrawal,user_1,account_1,Checking,,Lisaton,Cash,USD,0.0,3281.05,Miscellaneous,,174193.89000000004,False
6e43814f-696e-484e-9bf7-2f9dbbee502a,2023-11-27,Hansen-Mora,ATM Withdrawal,user_3,account_5,Credit Card,,Roweberg,Discover,USD,0.0,443.42,Miscellaneous,,249727.35999999996,False
0502570b-e001-484f-8606-b23ce76c55d0,2024-12-02,Shell,ACH Credit,user_4,account_2,Checking,,Lake Michaelfort,JCB 16 digit,USD,0.0,1541.49,Transportation,Public Transit,1458722.3900000001,False
87cad479-2621-4fac-be36-179b9306616f,2024-11-03,Whole Foods,ACH Credit,user_4,account_9,Credit Card,,Port Christine,Maestro,USD,0.0,1927.52,Groceries,Dairy,1386942.3799999992,False
d8474e81-ba9c-48c1-b99b-9cffd079170e,2025-01-28,Clark PLC,Online Payment,user_5,account_1,Checking,,Andrewmouth,Cash,USD,0.0,1424.67,Miscellaneous,,1523798.5300000005,False
f5a55e1a-989f-49fb-977a-7fa474e74777,2025-03-09,Osborne-Stevens,ACH Credit,user_3,account_2,Checking,,Johnbury,VISA 13 digit,USD,0.0,213.87,Miscellaneous,,1773940.6900000006,False
1cd4e2ba-c309-4a56-910e-902640202afd,2025-07-08,Amazon.com,Transfer,user_2,account_8,Savings,,Lake Melissashire,VISA 19 digit,USD,0.0,2182.34,Shopping,Online,2156638.3500000006,False
6dd8442e-6b6c-4344-aeb9-e8af0b9f3b0d,2025-01-03,Freelance Income,Online Payment,user_5,account_3,Savings,,North Jodimouth,Cash,USD,0.0,1343.04,Income,,1570000.2200000016,False
e600813d-351f-4cda-8071-b697527adfca,2024-08-12,Macy's,POS Debit,user_5,account_10,Checking,,South Thomas,Cash,USD,0.0,2253.61,Shopping,Apparel,1095789.1400000008,False
c3f45964-30d0-42d3-ab13-b995f7a83183,2024-11-17,Spotify,Cash,user_5,account_8,Checking,,Leefurt,Maestro,USD,212.61,0.0,Entertainment,,1424784.200000001,False
dfc7e7ab-ac30-4e5e-b121-e294c2cc322e,2024-07-02,Hawkins-Flores,Online Payment,user_2,account_8,Checking,,Lynchberg,JCB 16 digit,USD,0.0,388.29,Miscellaneous,,954447.550000001,False
f1f9cc7a-2e67-4e93-a0b8-6886881acc81,2024-06-04,Freelance Income,Online Payment,user_4,account_9,Savings,Along contain control note.,North Sandra,Cash,USD,0.0,895.38,Income,,888493.8899999994,False
7ae182f3-42a6-47c8-9f0c-726fd2d6f9aa,2025-08-25,Walmart,ATM Withdrawal,user_5,account_7,Savings,,Jacksonchester,Cash,USD,0.0,4896.14,Groceries,Dairy,2172181.9199999995,False
c9ae5f2f-9c1a-44b8-af55-e8e82d8fb2c0,2023-09-18,Macy's,Transfer,user_1,account_8,Checking,Yes population note activity same with road.,Port Davidfurt,Cash,USD,0.0,4446.69,Shopping,Online,46247.35,False
34a6fe49-57ff-48fc-a8c0-501e2e63b89e,2024-12-02,Acosta-Cain,Online Payment,user_1,account_9,Credit Card,,Port Crystalton,Cash,USD,0.0,3875.17,Miscellaneous,,1508288.0999999999,False
9e279797-c0d8-4699-bf45-8e61a392a1c4,2024-12-31,Smith PLC,POS Debit,user_5,account_7,Checking,,New Josephburgh,Discover,USD,424.25,0.0,Miscellaneous,,1413326.129999998,False
ca268e72-471f-4a8d-b756-aae0a07dff9d,2025-05-04,Freelance Income,Online Payment,user_1,account_2,Checking,,Elizabethfurt,VISA 16 digit,USD,0.0,3108.32,Income,Salary,1957680.1100000006,False
a0955e7a-d316-4d8a-87aa-034397b3cc22,2024-11-29,Gym Membership,POS Debit,user_2,account_7,Savings,,Lake Pamela,Cash,USD,0.0,1795.76,Health & Fitness,,1367481.369999999,False
a4b1e574-458a-4967-9644-9d9d2e058124,2025-06-27,Spotify,ACH Credit,user_1,account_5,Savings,,Maloneshire,Cash,USD,0.0,3701.18,Entertainment,Movies,2026960.93,False
f7c344c9-a9d9-4249-b0c4-1c5ef9967d19,2025-02-07,Willis-Rodriguez,ATM Withdrawal,user_1,account_6,Checking,,Williamstad,Cash,USD,0.0,2437.04,Miscellaneous,,1658482.8400000005,False
3ac9be4e-8a15-465e-b67b-663db4a1e45c,2023-12-08,Oliver and Sons,ACH Credit,user_4,account_8,Checking,,Lake Kenneth,Cash,USD,0.0,2019.88,Miscellaneous,,354862.31999999995,False
2a51e191-600d-4ac9-b058-86b63bebc2e3,2024-06-19,Mack PLC,ATM Withdrawal,user_2,account_7,Checking,Quickly evening not view foreign.,Nicholasberg,JCB 16 digit,USD,0.0,171.9,Miscellaneous,,887400.4499999996,False
7b12e619-54e5-41f5-b61a-4a0fcf680737,2024-01-22,AT&T,ACH Credit,user_3,account_7,Credit Card,,Edwardsbury,VISA 16 digit,USD,0.0,4457.8,Utilities,Internet,460091.67,False
1adfc5bb-f676-466e-84ca-dcb3d4edd0fb,2025-06-11,Whole Foods,Cash,user_4,account_1,Credit Card,,Joshuaburgh,Cash,USD,0.0,4157.66,Groceries,Dairy,1957411.7500000005,False
76f2b929-0e2d-4bd4-8548-ab3471fd977f,2024-10-20,Luna-Bailey,ATM Withdrawal,user_1,account_1,Checking,,East Steven,Cash,USD,0.0,1039.07,Miscellaneous,,1236310.9300000004,False
