Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
2025-10-06,Transaction at Levis,2086.4,Clothing,Cash,Chicago,Credit Card,Debit,ATM,INR,Subscription,No,Monday,October,Afternoon
2025-04-13,Transaction at RedBus,1840.78,Transport,Debit Card,San Francisco,Current,Credit,ATM,INR,Online Store,Yes,Sunday,April,Night
2025-05-12,Transaction at Netflix,1595.55,Entertainment,Cash,New York,Credit Card,Credit,ATM,INR,Online Store,No,Monday,May,Night
2025-03-20,Transaction at KFC,4625.6,Food,Net Banking,Houston,Savings,Debit,ATM,INR,Online Store,Yes,Thursday,March,Morning
2025-01-05,Transaction at Tesco,1412.25,Grocery,UPI,Chicago,Current,Debit,POS Terminal,INR,Service,Yes,Sunday,January,Night
2025-03-08,Transaction at Samsung,1759.81,Electronics,Cash,New York,Current,Credit,ATM,INR,Retail,No,Saturday,March,Evening
2025-07-16,Transaction at Apple,3023.68,Electronics,Debit Card,Houston,Salary,Debit,Mobile,INR,Subscription,Yes,Wednesday,July,Morning
2025-12-31,Transaction at Costco,1430.5,Grocery,Net Banking,San Francisco,Current,Credit,ATM,INR,Subscription,Yes,Wednesday,December,Morning
2025-09-23,Transaction at McDonalds,3898.36,Food,Net Banking,Boston,Credit Card,Debit,Desktop,INR,Online Store,Yes,Tuesday,September,Morning
2025-04-08,Transaction at Tesco,4539.51,Grocery,Credit Card,Boston,Current,Credit,ATM,INR,Service,No,Tuesday,April,Night
2025-07-20,Transaction at Adidas,3244.15,Clothing,UPI,New York,Current,Debit,POS Terminal,INR,Online Store,Yes,Sunday,July,Morning
2025-12-18,Transaction at RedBus,1154.22,Transport,Cash,San Francisco,Savings,Debit,POS Terminal,INR,Retail,Yes,Thursday,December,Afternoon
2025-02-11,Transaction at Levis,2548.97,Clothing,UPI,Chicago,Savings,Debit,ATM,INR,Subscription,Yes,Tuesday,February,Evening
2025-12-20,Transaction at HP,2219.4,Electronics,Debit Card,Chicago,Salary,Credit,Desktop,INR,Service,No,Saturday,December,Morning
2025-01-14,Transaction at McDonalds,245.72,Food,Credit Card,Los Angeles,Salary,Debit,ATM,INR,Service,No,Tuesday,January,Night
2025-11-11,Transaction at Adidas,1983.49,Clothing,UPI,New York,Current,Credit,Desktop,INR,Online Store,No,Tuesday,November,Night
2025-01-05,Transaction at Spotify,641.39,Entertainment,Debit Card,New York,Credit Card,Credit,ATM,INR,Restaurant,Yes,Sunday,January,Afternoon
2025-12-25,Transaction at Uber,1439.76,Transport,UPI,Los Angeles,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Thursday,December,Morning
2025-12-06,Transaction at Walmart,1600.39,Grocery,Net Banking,New York,Savings,Debit,ATM,INR,Retail,No,Saturday,December,Evening
2025-06-07,Transaction at McDonalds,1883.29,Food,Net Banking,Houston,Salary,Credit,Desktop,INR,Online Store,No,Saturday,June,Evening
2025-10-19,Transaction at Apple,531.52,Electronics,Cash,Chicago,Salary,Credit,Desktop,INR,Subscription,Yes,Sunday,October,Morning
2025-02-16,Transaction at McDonalds,947.45,Food,Net Banking,Los Angeles,Savings,Debit,Mobile,INR,Subscription,Yes,Sunday,February,Evening
2025-03-23,Transaction at Tesco,531.31,Grocery,Net Banking,Chicago,Savings,Debit,ATM,INR,Service,Yes,Sunday,March,Morning
2025-08-20,Transaction at HP,1932.31,Electronics,Debit Card,San Francisco,Credit Card,Debit,ATM,INR,Retail,Yes,Wednesday,August,Morning
2025-12-03,Transaction at Walmart,328.17,Grocery,Credit Card,San Francisco,Savings,Credit,Mobile,INR,Service,No,Wednesday,December,Morning
2025-04-02,Transaction at Zara,2758.86,Clothing,Cash,Boston,Credit Card,Credit,Desktop,INR,Subscription,Yes,Wednesday,April,Morning
2025-01-18,Transaction at McDonalds,2532.39,Food,UPI,San Francisco,Credit Card,Debit,Mobile,INR,Restaurant,Yes,Saturday,January,Morning
2025-01-30,Transaction at Starbucks,687.04,Food,Credit Card,New York,Savings,Debit,Desktop,INR,Restaurant,No,Thursday,January,Afternoon
